well_id,source_well_id,api_number,well_name,operator,field,latitude,longitude,total_depth,tvd,spud_date,source
679f35f4-0883-447c-a061-636d37e5a405,1.77E+11,1.77E+11, A002,Fieldwood Energy LLC,WC 68,29.62645925,-93.03470456,12602,12140,01-12-1959,BSEE
4e2b54b1-2f86-4873-b26f-24574bec4ed2,1.77E+11,1.77E+11, A002,Fieldwood Energy LLC,WC 68,29.62645925,-93.03470456,11708,11327,02-01-1959,BSEE
13126f08-7ed7-44f0-a989-00d09e234099,1.77E+11,1.77E+11, A002,Fieldwood Energy LLC,WC 68,29.62645925,-93.03470456,10835,10658,04-01-1959,BSEE
e9e8c661-f159-4461-ab7b-739bc2a8c3f7,1.77E+11,1.77E+11, B001,Apache Corporation,WC 68,29.63130061,-93.04941824,14507,14507,7/27/1959,BSEE
6ae7df9a-e065-44f1-8a78-1af51e0ab5a6,1.77E+11,1.77E+11, B001,Apache Corporation,WC 68,29.63130038,-93.04941745,4901,4901,6/16/1959,BSEE
34c4f8bf-5d92-48ac-9f62-da4b93aa59de,1.77E+11,1.77E+11, D001,Apache Corporation,WC 68,29.63119407,-93.0284137,14147,14147,03-07-1960,BSEE
47d0cbbe-60d8-40d0-abac-8f88c6902793,1.77E+11,1.77E+11, E001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 68,29.63906408,-93.02085295,14672,14672,5/21/1960,BSEE
c131b38e-8609-4d66-bd8f-d35f0a160995,1.77E+11,1.77E+11, G001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 68,29.64878267,-93.02114274,16131,16131,10/15/1962,BSEE
37be2e06-5f9e-4f6c-be6e-f11df473159e,1.77E+11,1.77E+11, H001,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,WC 68,29.65047539,-93.04460565,15954,15954,3/24/1963,BSEE
697a8124-59ce-4877-9f23-3df5e2717c7f,1.77E+11,1.77E+11,1,Union Oil Company of California,WC 67,29.64521513,-93.08019898,11467,11467,11/13/1959,BSEE
c6ed645e-bf93-492a-8490-05e7b8263727,1.77E+11,1.77E+11,1,Union Oil Company of California,WC 67,29.64708458,-93.08890876,13078,13078,03-11-1958,BSEE
79c7f0f2-b168-4ef8-87df-86e55ef8c8ae,1.77E+11,1.77E+11,1,Sun Oil Company,WC 66,29.63070094,-93.14490927,12622,12622,1/20/1958,BSEE
fc788c54-5921-438c-b912-9bb38cb056ba,1.77E+11,1.77E+11,1,Kerr-McGee Corporation,WC 26,29.70653012,-93.32437829,11250,11250,1/25/1961,BSEE
86efc51e-6a5b-4066-86be-e019e122ee9e,1.77E+11,1.77E+11,1,Cabot Corporation,WC 26,29.69544057,-93.34097879,14652,14652,2/15/1960,BSEE
70d61cff-8167-4e3e-bbe5-c5daf3617e90,1.77E+11,1.77E+11, B001,The Louisiana Land and Exploration Company,WC 40,29.6865631,-93.34594736,14005,14005,10/31/1954,BSEE
dea5b6c1-e1aa-4def-91ff-ef03556b5cbc,1.77E+11,1.77E+11, B002,Tenneco Oil Company,WC 39,29.68654144,-93.34592488,10483,10157,04-01-1955,BSEE
9955172b-948b-4d28-8e85-d01c905a0b03,1.77E+11,1.77E+11, B003,Tenneco Oil Company,WC 39,29.68628814,-93.34594183,11852,10609,04-05-1961,BSEE
c8c745fe-db75-4846-b3ba-63d82ee04b67,1.77E+11,1.77E+11, A001,The Louisiana Land and Exploration Company,WC 40,29.67959992,-93.34588919,14300,14300,5/13/1958,BSEE
18fa8d81-ca18-4e5a-937c-dfad5c1c70d1,1.77E+11,1.77E+11, A001,The Louisiana Land and Exploration Company,WC 40,29.67276552,-93.3455059,11377,11377,1/16/1954,BSEE
c79b4b0c-c515-4e6b-906a-35478cd0f11d,1.77E+11,1.77E+11, A002,The Louisiana Land and Exploration Company,WC 40,29.67274084,-93.34548984,14072,14069,3/28/1954,BSEE
8786e094-d75d-42e0-b122-20f3be14b145,1.77E+11,1.77E+11,2,The Louisiana Land and Exploration Company,WC 40,29.67364904,-93.35458771,10499,10499,12/15/1960,BSEE
67a65904-af5d-4298-b645-16eda4cf3fc4,1.77E+11,1.77E+11,1,"Gordon Street, Inc.",WC 25,29.70101947,-93.35077453,14389,14389,08-09-1962,BSEE
62b1a460-366b-4aca-a79e-7d3c5a9fc1c0,1.77E+11,1.77E+11, B001,BP Exploration & Production Inc.,WC 111,29.50783905,-93.29704494,10298,10298,12-01-1956,BSEE
2804043b-77e4-4877-80d5-2149204643b1,1.77E+11,1.77E+11, B002,American Exploration Company,WC 111,29.50793975,-93.29711608,10139,9830,4/15/1957,BSEE
9525a977-4b40-4823-9f0f-a8db16c3b3fd,1.77E+11,1.77E+11, B003,"Mariner Energy, Inc.",WC 110,29.50792358,-93.29709376,8900,8275,08-12-1957,BSEE
121ef779-a0e9-4f8f-8f66-cc9cf9609aa8,1.77E+11,1.77E+11, B004,"Mariner Energy, Inc.",WC 110,29.50790998,-93.29708406,8900,8317,10-11-1957,BSEE
f06c6b94-808b-4a91-9602-e90f01b19d83,1.77E+11,1.77E+11, A001,"White Fleet Operating, LLC",WC 110,29.51828508,-93.28435737,10628,10625,12/24/1953,BSEE
b95e1bd8-a375-4468-a39c-f993367c8b64,1.77E+11,1.77E+11, A002,"White Fleet Operating, LLC",WC 110,29.51836122,-93.28366725,11341,10972,5/23/1954,BSEE
23396448-4cc0-4fab-9ff2-25c7ec9d26c7,1.77E+11,1.77E+11, A003,"White Fleet Operating, LLC",WC 110,29.51827142,-93.28434156,9500,9011,01-04-1958,BSEE
